CSI_SITE_HANDLE,CSI_ADDRESS_ID,CSI_CORE_SITE_ID,CSI_CUST_HANDLE,CSI_ORDER_HANDLE,CSI_SERVICEHANDLE,CSI_USID,CSI_SERVICEELEMENTCLASS,GOLD_SITE_CODE,GOLD_ADDRESS_ID,GOLD_CORE_SITE_ID,GOLD_STATUS,GOLD_ICO,IS_AVAILABLE_AFTER_ADD_WHITESPACE
LONB3739-9,,,3739,22408,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,LONB3739-9,,,0,3739,CSI_SITEHANDLE_FOUND_IN_GOLD
4233_Ottawa Emb,,,4233,21436,FRAME_RELAY_PURPLE,NOT REQUIRED,NOT REQUIRED,4233_Ottawa Emb,,,0,4233,CSI_SITEHANDLE_FOUND_IN_GOLD
YEE,,,28358,19117,IP_VPN,NOT REQUIRED,NOT REQUIRED,YEE,,,0,28358,CSI_SITEHANDLE_FOUND_IN_GOLD
2786-Taiwan-Taipei,,,2786,22108,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,2786-Taiwan-Taipei,,,0,2786,CSI_SITEHANDLE_FOUND_IN_GOLD
2786-Cyprus Nicosia,,,2786,22048,MANAGED_ROUTER_CPE_LANAS,NOT REQUIRED,NOT REQUIRED,2786-Cyprus Nicosia,,,0,2786,CSI_SITEHANDLE_FOUND_IN_GOLD
JHYB3969-4,,,3969,14771,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,JHYB3969-4,,,0,3969,CSI_SITEHANDLE_FOUND_IN_GOLD
pet3,MA18003470,MS18003374,28358,19221,IP_VPN,NOT REQUIRED,NOT REQUIRED,pet3,MA18003470,MS18003374,0,28358,CSI_SITEHANDLE_FOUND_IN_GOLD
Glattbrugg,,,35735,15145,IP_VPN,NOT REQUIRED,NOT REQUIRED,Glattbrugg,,,0,35735,CSI_SITEHANDLE_FOUND_IN_GOLD
STRN5108-9,,,5108,15029,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,STRN5108-9,,,0,5108,CSI_SITEHANDLE_FOUND_IN_GOLD
CPE-0229 CFTRUSNYA2,,,2646,11991,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,CPE-0229 CFTRUSNYA2,,,0,2646,CSI_SITEHANDLE_FOUND_IN_GOLD
EMY,,,28358,15809,IP_VPN,NOT REQUIRED,NOT REQUIRED,EMY,,,0,28358,CSI_SITEHANDLE_FOUND_IN_GOLD
HFDB8045-1,,,8045,19035,IP_VPN,NOT REQUIRED,NOT REQUIRED,HFDB8045-1,,,1,8045,CSI_SITEHANDLE_FOUND_IN_GOLD
BRIST2354,,,2354,22573,IP_VPN,NOT REQUIRED,NOT REQUIRED,BRIST2354,,,0,2354,CSI_SITEHANDLE_FOUND_IN_GOLD
NEUTRAUBLING_014633,MAG5211310,MSG5211537,6287,17656,FRAME_RELAY,NOT REQUIRED,NOT REQUIRED,NEUTRAUBLING_014633,MAG5211310,MSG5211537,0,6287,CSI_SITEHANDLE_FOUND_IN_GOLD
SHA 2,,,7475,22527,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,SHA 2,,,0,7475,CSI_SITEHANDLE_FOUND_IN_GOLD
BJS 2,,,7475,22530,LAN_ACCESS,NOT REQUIRED,NOT REQUIRED,BJS 2,,,0,7475,CSI_SITEHANDLE_FOUND_IN_GOLD
