GID,AM Response,E_ICO1_CD,E_SITE_ID,E_ORANGE_SITE_NAME,E_CUSTOMER_SITE_NAME,E_SITE_STATUS_CD,E_SITE_COMMENT,E_PHONE,E_FAX,E_ADDRESS_ID,E_BUIDLING_NAME,E_LOCATION_NAME,E_ROOM,E_FLOOR,E_STREET_NAME,E_ZIP_CODE,E_CITY_NAME,E_STATE_CD,E_STATE_NAME,C_COUNTRY_ISO_3_CODE,E_IS_VALID_PRESALES_SALES,GOLD_SITECODE
1,TRUE,2603,MS17001661,2603_BRA_São Paulo_00001,,0,,0,0,MA17001723,,,,,Av. Dr. Chucri Zaidan 940 - Sapataria Cometa,04583-110,São Paulo,SP,SAO PAULO,BRA,Y,São Paulo_227467
1,FALSE,2603,MSY8179440,2603_BRA_Sao Paulo_00001_MIG_001,,0,,,,MAY8180552,,,,,"AV DR CHUCRI ZAIDAN, 940/TORRE B 3 ANDAR",,Sao Paulo,AM,AMAZONAS,BRA,Y,Sao Paulo_076382
2,TRUE,2603,MS17001687,2603_BRA_São Paulo_00002,,0,,0,0,MA17001749,,,,,Av. das Nações Unidas 14171 - Santo Amaro,04795-100,São Paulo,SP,SAO PAULO,BRA,Y,São Paulo_227469
2,FALSE,2603,MSY5135719,2603_BRA_Sao Paulo_00001,,0,,,,MAY5136831,,,,,"LG ELECTRONICS SP R&D AV NACOES UNIDAS,14171",,Sao Paulo,MT,MATO GROSSO,BRA,Y,Sao Paulo_085295
3,TRUE,2603,MSY8179432,2603_BRA_Taubate_00001_MIG_001,,0,,,,MAY8180544,,,,,"Av. Dom Pedro I, W7777 - Predio 1 e 2 Area",,Taubate,SP,SAO PAULO,BRA,Y,Taubate_076383
3,FALSE,2603,CI00037736,2603_BRA_Taubaté_001,,0,,,,CI00037940,1 e 2,Piracangagua,,,"Av. Dom pedro I, W7777 - Prédio 1 e 2, Área Industrial do Piracangagua",12081-010,Taubaté,SP,SAO PAULO,BRA,Y,Taubaté_052944
3,FALSE,2603,MSY8179433,2603_BRA_Taubate_00002,,0,,,,MAY8180545,,,,,"AV D PEDROI, W777 / DISTRITO INDUSTRIAL",12040-390,Taubate,SP,SAO PAULO,BRA,Y,Taubate_092933
3,FALSE,2603,MSY5135722,2603_BRA_Taubate_00001,,0,,,,MAY5136834,,,,,"Ave Dom Pedro, I- W7777, Taubate",12010,Sao Paulo,SP,SAO PAULO,BRA,Y,Sao Paulo_085296
4,TRUE,2603,MSY5135736,2603_CAN_Toronto_MIG_001,,0,,,,MAY5136848,,,,,20 NORELCO DRIVE NORTH YORK,M9L 2X6,Toronto,ON,ONTARIO,CAN,Y,Toronto_071642
4,FALSE,2603,MSY5147251,2603_CAN_Toronto_00001,,0,,,,MAY5148363,,,,,20 Norelco Drive,M9L 2X6,Toronto,ON,ONTARIO,CAN,Y,Toronto_086686
