ADDRESS_ID,CORE_ICO,CORE_STATUS
CI00000020,23542,1
CI00000079,30623,1
CI00000082,9319,1
CI00000096,36572,1
CI00000099,40812,1
CI00000138,36572,1
CI00000173,671444,1
CI00000193,9319,1
CI00000228,36572,1
CI00000234,683512,0
CI00000257,35168,1
CI00000299,33169,1
CI00000314,1908,1
CI00000317,9813,1
CI00000407,39398,1
CI00000458,36572,1
CI00000539,36572,1
CI00000551,36572,1
CI00000553,36572,1
CI00000586,10246,1
CI00000602,36572,1
CI00000605,36572,1
CI00000619,675011,1
CI00000625,42767,1
CI00000626,36572,1
CI00000667,683512,0
CI00000674,683512,0
CI00000738,36572,1
CI00000756,30623,1
CI00000763,672739,1
CI00000804,36572,1
CI00000810,36572,1
CI00000826,672739,1
CI00000858,39088,1
CI00000876,676147,1
CI00000906,6392,1
CI00000907,683512,0
CI00000979,6392,1
CI00001006,36572,1
CI00001015,1908,1
CI00001031,681885,1
CI00001078,18076,1
CI00001111,23918,1
CI00001156,6392,1
CI00001195,6392,1
CI00001208,36572,1
CI00001311,58268,1
CI00001339,672739,1
CI00001341,6392,1
CI00001427,1908,1
CI00001429,680779,1
CI00001581,40674,0
CI00001687,1908,1
CI00001712,36408,1
CI00001828,1908,1
CI00001925,43233,1
CI00001942,43233,1
CI00002030,23542,1
CI00002039,5158,1
CI00002123,679231,1
CI00002126,1908,1
CI00002147,35015,1
CI00002323,9359,1
CI00002491,9338,1
CI00002495,678931,1
CI00002507,240,1
CI00002517,679231,1
CI00002541,24881,0
CI00002565,678931,1
CI00002602,680681,1
CI00002629,680681,1
CI00002632,678931,1
CI00002636,32509,1
CI00002651,1908,1
CI00002712,9732,1
CI00002959,58392,1
CI00003040,39303,1
CI00003070,681533,1
CI00003097,58268,1
CI00003098,58617,1
CI00003100,58631,1
CI00003108,672739,1
CI00003109,681200,1
CI00003288,683512,0
CI00003337,683512,0
CI00003340,53849,1
CI00003415,6392,1
CI00003456,1908,1
CI00003496,683512,0
CI00003513,678931,1
CI00003556,35015,1
CI00003571,41884,1
CI00003572,1908,1
CI00003577,678931,1
CI00003593,35015,1
CI00003601,678931,1
CI00003629,679344,1
CI00003677,32509,1
CI00003758,677992,1
CI00003809,1908,1
CI00003821,1908,1
CI00003832,33169,1
CI00003914,35015,1
CI00004012,681861,1
CI00004029,683512,0
CI00004037,683512,0
CI00004112,670058,1
CI00004134,33169,1
CI00004142,35015,1
CI00004203,672739,1
CI00004225,1508,1
CI00004276,683512,0
CI00004402,679231,1
CI00004413,675432,1
CI00004416,5160,1
CI00004483,677392,1
CI00004521,6392,1
CI00004543,679662,1
CI00004553,164,1
CI00004620,6392,1
CI00004628,6392,1
CI00004938,23542,1
CI00004964,680264,1
CI00004971,683512,0
CI00004975,680264,1
CI00004987,680264,1
CI00005034,680264,1
CI00005049,680264,1
CI00005072,680264,1
CI00005177,35491,1
CI00005226,680264,1
CI00005233,680264,1
CI00005253,680264,1
CI00005254,680264,1
CI00005346,6392,1
CI00005358,42787,1
CI00005424,681885,1
CI00005430,35015,1
CI00005490,6392,1
CI00005503,679796,1
CI00005532,3686,1
CI00005534,1908,1
CI00005554,1908,1
CI00005591,678931,1
CI00005594,678931,1
CI00005596,9319,1
