GoldOrderRef,TARGET_Billing_Account_Number,TARGET_Contract_ID,Target_Account_Manager,TARGET_IC01_End_User,TARGET_SITE_ID,TARGET_CORE_Address_ID,TARGET_CUSTOMER_NAME,SITECODE,TARGET_ORANGE_SITE_NAME
690450,NSBOGE01,85032809,Christian Lessing,682715,MS10003557,MA10003630,BOGE ELASTMETALL GMBH,36421-DE-Bonn/Bad Godesberg,682715-DE-Bonn/Bad Godesberg
654254,NSBOGE01,85032809,Christian Lessing,682715,MS10003289,MA10003357,BOGE ELASTMETALL GMBH,36421-US-Hebron,682715-US-Hebron
677900,NSBOGE01,85032809,Christian Lessing,682715,CI00006884,CI00006928,BOGE ELASTMETALL GMBH,Bautzen_022862,Bautzen_001
677899,NSBOGE01,85032809,Christian Lessing,682715,CI00007040,CI00007084,BOGE ELASTMETALL GMBH,Bautzen_023009,Bautzen_backup01
653259,NSBOGE01,85032809,Christian Lessing,682715,MS10003212,MAG5213651,BOGE ELASTMETALL GMBH,ZF Boge_Dingley,682715_AUS_Dingley Village_002
803658,NSBOGE01,85032809,Christian Lessing,682715,CI00027778,MAY2130626,BOGE ELASTMETALL GMBH,Fontenay-Trésigny_043500,682715_FRA_Fontenay-Trésigny_002
653272,NSBOGE01,85032809,Christian Lessing,682715,CI00017017,MAG5212778,BOGE ELASTMETALL GMBH,Shanghai_032795,682715_CHN_Shanghai_002
686276,NSBOGE01,85032809,Christian Lessing,682715,CI00017017,MAG5212778,BOGE ELASTMETALL GMBH,Shanghai_032795,682715_CHN_Shanghai_002
875291,NSBOGE01,85032809,Christian Lessing,682715,CI00006881,MA10003414,BOGE ELASTMETALL GMBH,Sorocaba_022859,682715_BRA_Sorocaba_002
735454,NSBOGE01,85032809,Christian Lessing,682715,CI00003481,CI00003498,BOGE ELASTMETALL GMBH,Neuenstadt am Kocher_019495,Neuenstadt Fujitsu
653274,NSBOGE01,85032809,Christian Lessing,682715,MS10003299,MA10003368,BOGE ELASTMETALL GMBH,Simmern_027120,682715_DEU_Simmern_00001
688640,NSBOGE01,85032809,Christian Lessing,682715,MS10003243,MA10003310,BOGE ELASTMETALL GMBH,Damme_003781,Damme_003781
