"GID","QUOTENUMBER","EQ_GOLDORIGNB","ORDEREDSERVICE","MIGRATIONSERVICE","SITE_CONT","SITE","HOTCUTNEWSITE","ADDRESS_ID","CORE_SITE_ID","ORGANIZATIONID","SITECODE","ORANGE_SITENAME","ANALYSIS_RESULT"
"1","349772","232071","IP_VPN","NONE","EXISTING","Z1UZZZO5UGKEZRXDSUZWJBTQX1Y4WWRZ",,"MAY2130118","MSY4145138","35660","Athens_174169","35660_GRC_Athens_00001","Match"
"1","372463","349772","IP_VPN","NONE","EXISTING","Z1UZZZO5UGKEZRXDSUZWJBTQX1Y4WWRZ",,"MAY2130118","MSY4145138","35660","Athens_174169","35660_GRC_Athens_00001","Match"
"1","386932","372463","IP_VPN","NONE","EXISTING","Z1UZZZO5UGKEZRXDSUZWJBTQX1Y4WWRZ",,"MAY2130118","MSY4145138","35660","Athens_174169","35660_GRC_Athens_00001","Match"
"1","391650","386932","IP_VPN","NONE","EXISTING","Z1UZZZO5UGKEZRXDSUZWJBTQX1Y4WWRZ",,"MAY2130118","MSY4145138","35660","Athens_174169","35660_GRC_Athens_00001","Match"
"1","474835","391650","IP_VPN","NONE","EXISTING","Z1UZZZO5UGKEZRXDSUZWJBTQX1Y4WWRZ",,"MAY2130118","MSY4145138","35660","Athens_174169","35660_GRC_Athens_00001","Match"
"1","584650","474835","IP_VPN","NONE","EXISTING","Z1UZZZO5UGKEZRXDSUZWJBTQX1Y4WWRZ",,"MAY2130118","MSY4145138","35660","Athens_174169","35660_GRC_Athens_00001","Match"
"1","613505","584650","IP_VPN","B1UZZZWUUGKEZQXF44ZDZMNEC15FFZZZ","EXISTING","Z1UZZZO5UGKEZRXDSUZWJBTQX1Y4WWRZ",,"MAY2130118","MSY4145138","35660","Athens_174169","35660_GRC_Athens_00001","Match"
"1","704821","613505","B1UZZZWUUGKEZQXF44ZDZMNEC15FFZZZ","B1UZZZWUUGKEZQXF44ZDZMNEC15FFZZZ","New","Z1UZZZQ5UGKEZUYIWUZYS1Q2OIU5BUVZ","Z1UZZZQ5UGKEZUYIWUZYS1Q2OIU5BUVZ","MA09004216","MS09004096","35660","Marousi_040572","35660_GRC_Marousi_00001","Not Match"
"1","811889","704821","B1UZZZWUUGKEZQXF44ZDZMNEC15FFZZZ","NONE","EXISTING","Z1UZZZQ5UGKEZUYIWUZYS1Q2OIU5BUVZ",,"MA09004216","MS09004096","35660","Marousi_040572","35660_GRC_Marousi_00001","Match"
"1","921523","811889","B1UZZZWUUGKEZQXF44ZDZMNEC15FFZZZ","B1UZZZWUUGKEZQXF44ZDZMNEC15FFZZZ","New","Z1UZZZQ5UGKEZUYIWUZYS1Q2OIU5BUVZ","Z1UZZZQ5UGKEZFXENUZO11WCXST12B4Z","CI00108962","CI00108250","35660","Marousi_247950","35660_GRC_Marousi_00002","Match"
