ORANGE_SITENAME,ADDRESS_ID,CORE_SITE_ID,SITECODE,UPDATED_SITECODE,UPDATED_ORANGE_SITENAME
GIO-ES/N'HAMPTON,,,GIO-ES/N'HAMPTON,GIO-ES/NHAMPTON_SC,GIO-ES/NHAMPTON_SC
GIO-ES/P'BOROUGH,,,GIO-ES/P'BOROUGH,GIO-ES/PBOROUGH_SC,GIO-ES/PBOROUGH_SC
Fray's Court,,,Fray's Court,Frays Court_SC,Frays Court_SC
SAO JOSE',,,SAO JOSE',SAO JOSE_SC,SAO JOSE_SC
AA Jo'burg,,,AA Jo'burg,AA Joburg_SC,AA Joburg_SC
COT D'IV 01,,,COT D'IV 01,COT DIV 01_SC,COT DIV 01_SC
PABLO PODESTA',,,PABLO PODESTA',PABLO PODESTA_SC,PABLO PODESTA_SC
Samsung-Abidjan/Cote d'Ivoire,,,Samsung-Abidjan/Cote d'Ivoire,Samsung-Abidjan/Cote dIvoire_SC,Samsung-Abidjan/Cote dIvoire_SC
Luxembourg D'Esch,,,Luxembourg D'Esch,Luxembourg DEsch_SC,Luxembourg DEsch_SC
23223Ol'sany,,,23223Ol'sany,23223Olsany_SC,23223Olsany_SC
PARIS- ST. OUEN L'AUMONE,,,PARIS- ST. OUEN L'AUMONE,PARIS- ST. OUEN LAUMONE_SC,PARIS- ST. OUEN LAUMONE_SC
Windsor-Intl'.,,,Windsor-Intl'.,Windsor-Intl._SC,Windsor-Intl._SC
Michael Page Int'l Italia SPA,,,Michael Page Int'l Italia SPA,Michael Page Intl Italia SPA_SC,Michael Page Intl Italia SPA_SC
A'Dam HQ,,,A'Dam HQ,ADam HQ_SC,ADam HQ_SC
Rotterdam Nui's,,,Rotterdam Nui's,Rotterdam Nuis_SC,Rotterdam Nuis_SC
Dan's Messanger,,,Dan's Messanger,Dans Messanger_SC,Dans Messanger_SC
PLAN D'ORGON,,,PLAN D'ORGON,PLAN DORGON_SC,PLAN DORGON_SC
Casella D'Asolo,,,Casella D'Asolo,Casella DAsolo_SC,Casella DAsolo_SC
Caselle D'asolo Italy,,,Caselle D'asolo Italy,Caselle Dasolo Italy_SC,Caselle Dasolo Italy_SC
SAA,MA12002258,MS12002240,Yemen - Sana'a (SAA),Yemen - Sanaa (SAA)_SC,SAA
Jo'Burg,CI00002323,CI00002313,Jo'Burg,JoBurg_SC,Jo'Burg
D'Hol Portugal,,,D'Hol Portugal,DHol Portugal_SC,DHol Portugal_SC
d'Hol Irland,,,d'Hol Irland,dHol Irland_SC,dHol Irland_SC
Shell-Berre l'Etang,,,Shell-Berre l'Etang,Shell-Berre lEtang_SC,Shell-Berre lEtang_SC
F - Pont-de-L'Arche,,,F - Pont-de-L'Arche,F - Pont-de-LArche_SC,F - Pont-de-LArche_SC
Hill's BV,,,Hill's BV,Hills BV_SC,Hills BV_SC
FR-Villeneuve D'Assq,,,FR-Villeneuve D'Assq,FR-Villeneuve DAssq_SC,FR-Villeneuve DAssq_SC
GTZ Cote d'Ivoire,,,GTZ Cote d'Ivoire,GTZ Cote dIvoire_SC,GTZ Cote dIvoire_SC
Almere 1',,,Almere 1',Almere 1_SC,Almere 1_SC
5693 - Llica d'Amunt,,,5693 - Llica d'Amunt,5693 - Llica dAmunt_SC,5693 - Llica dAmunt_SC
Aigrefeuille d'Aunis,,,Aigrefeuille d'Aunis,Aigrefeuille dAunis_SC,Aigrefeuille dAunis_SC
VILLENEUVE D'ASCQ,,,VILLENEUVE D'ASCQ,VILLENEUVE DASCQ_SC,VILLENEUVE DASCQ_SC
FR-Caissed'epargne-002,,,FR-Caissed'epargne-002,FR-Caissedepargne-002_SC,FR-Caissedepargne-002_SC
FR-Caissed'Epargne-003,,,FR-Caissed'Epargne-003,FR-CaissedEpargne-003_SC,FR-CaissedEpargne-003_SC
Trane Villeneuve D'Ascq,,,Trane Villeneuve D'Ascq,Trane Villeneuve DAscq_SC,Trane Villeneuve DAscq_SC
F.C. Int'l Israel,,,F.C. Int'l Israel,F.C. Intl Israel_SC,F.C. Intl Israel_SC
Bell - Aliant McCain's Smithton,,,Bell - Aliant McCain's Smithton,Bell - Aliant McCains Smithton_SC,Bell - Aliant McCains Smithton_SC
Villeneuve D'ascq,,,Villeneuve D'ascq,Villeneuve Dascq_SC,Villeneuve Dascq_SC
isle D'Espagnac,,,isle D'Espagnac,isle DEspagnac_SC,isle DEspagnac_SC
NUI's,,,NUI's,NUIs_SC,NUIs_SC
Newmont - Finder's St.,,,Newmont - Finder's St.,Newmont - Finders St._SC,Newmont - Finders St._SC
Cyber Center A'Dam,,,Cyber Center A'Dam,Cyber Center ADam_SC,Cyber Center ADam_SC
Spain- L'Hospitalet,,,Spain- L'Hospitalet,Spain- LHospitalet_SC,Spain- LHospitalet_SC
Hill's Valbonne,,,Hill's Valbonne,Hills Valbonne_SC,Hills Valbonne_SC
